台灣頻道,#genre#
原住民族電視台,http://230taiwan.pendy.dpdns.org/4gtv-live014/index.m3u8?proxy=true
時尚運動X,http://230taiwan.pendy.dpdns.org/4gtv-4gtv014/index.m3u8?proxy=true
時尚運動X,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv014/index.m3u8?proxy=true
國會頻道1,http://230taiwan.pendy.dpdns.org/4gtv-4gtv084/index.m3u8?proxy=true
國會頻道1,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv084/index.m3u8?proxy=true
國會頻道1,http://230taiwan.pendy.dpdns.org/of-4gtv-4gtv084/index.m3u8?proxy=true
國會頻道2,http://230taiwan.pendy.dpdns.org/4gtv-4gtv085/index.m3u8?proxy=true
國會頻道2,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv085/index.m3u8?proxy=true
國會頻道2,http://230taiwan.pendy.dpdns.org/of-4gtv-4gtv085/index.m3u8?proxy=true
第1商業台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv104/index.m3u8?proxy=true
第1商業台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv104/index.m3u8?proxy=true
博斯高球I,http://230taiwan.pendy.dpdns.org/litv-longturn05/index.m3u8?proxy=true
博斯高球II,http://230taiwan.pendy.dpdns.org/litv-longturn06/index.m3u8?proxy=true
博斯無限I,http://230taiwan.pendy.dpdns.org/litv-longturn10/index.m3u8?proxy=true
博斯無限II,http://230taiwan.pendy.dpdns.org/litv-longturn13/index.m3u8?proxy=true
博斯運動I,http://230taiwan.pendy.dpdns.org/litv-longturn07/index.m3u8?proxy=true
博斯運動II,http://230taiwan.pendy.dpdns.org/litv-longturn08/index.m3u8?proxy=true
博斯網球,http://230taiwan.pendy.dpdns.org/litv-longturn09/index.m3u8?proxy=true
博斯魅力,http://230taiwan.pendy.dpdns.org/litv-longturn04/index.m3u8?proxy=true
智林體育,http://230taiwan.pendy.dpdns.org/4gtv-4gtv101/index.m3u8?proxy=true
智林體育,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv101/index.m3u8?proxy=true
視納華仁紀實頻道,http://230taiwan.pendy.dpdns.org/4gtv-4gtv013/index.m3u8?proxy=true
視納華仁紀實頻道,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv013/index.m3u8?proxy=true
新唐人亞太台,http://230taiwan.pendy.dpdns.org/4gtv-live050/index.m3u8?proxy=true
經典卡通台,http://230taiwan.pendy.dpdns.org/4gtv-live022/index.m3u8?proxy=true
經典電影台,http://230taiwan.pendy.dpdns.org/4gtv-live021/index.m3u8?proxy=true
達文西,http://230taiwan.pendy.dpdns.org/4gtv-4gtv018/index.m3u8?proxy=true
達文西,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv018/index.m3u8?proxy=true
電影原聲台 CMusic,http://230taiwan.pendy.dpdns.org/4gtv-live031/index.m3u8?proxy=true
滾動力 Rollor,http://230taiwan.pendy.dpdns.org/4gtv-live012/index.m3u8?proxy=true
精選動漫台,http://230taiwan.pendy.dpdns.org/4gtv-live024/index.m3u8?proxy=true
影迷數位紀實台,http://230taiwan.pendy.dpdns.org/li-litv-ftv15/index.m3u8?proxy=true
影迷數位紀實台,http://230taiwan.pendy.dpdns.org/litv-ftv15/index.m3u8?proxy=true
歐洲光影,http://230taiwan.pendy.dpdns.org/4gtv-live157/index.m3u8?proxy=true
豬哥亮歌廳秀,http://230taiwan.pendy.dpdns.org/4gtv-4gtv006/index.m3u8?proxy=true
豬哥亮歌廳秀,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv006/index.m3u8?proxy=true
歷史頻道,http://230taiwan.pendy.dpdns.org/4gtv-live026/index.m3u8?proxy=true
戲劇免費看1台,http://230taiwan.pendy.dpdns.org/4gtv-live010/index.m3u8?proxy=true
韓國娛樂台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv016/index.m3u8?proxy=true
韓國娛樂台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv016/index.m3u8?proxy=true
