2025台灣,#genre#
Global Trekker 探索世界「4gTV」,https://tv.iill.top/4gtv/4gtv-live112
LUXE TV「4gTV」,https://tv.iill.top/4gtv/4gtv-live121
TV5MONDE Style 生活時尚「4gTV」,https://tv.iill.top/4gtv/4gtv-live122
幸福空間居家「4gTV」,https://tv.iill.top/4gtv/4gtv-live206
車迷 TV,https://tv.iill.top/4gtv/4gtv-live201
金光布袋戲「4gTV」,https://tv.iill.top/4gtv/4gtv-live144



smt央視,#genre#

1綜合,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv1
2財經,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv2
3綜藝,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv3
4中文國際,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv4
5體育,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv5
5+體育賽事,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv5plus
6電影,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv6
7國防軍事,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv7
8電視劇,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv8hd
9紀錄,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv9hd
10科教,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv10hd
11戲曲,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv11
12社會與法,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv12
13新聞,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv13
14少兒,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv14
15音樂,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv15
16奧林匹克,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv16
17農業農村,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv17

江蘇衛視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=jiangsu_twn
浙江衛視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=zhejiang_twn
湖南衛視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=hunan_twn
北京衛視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=beijing
東方衛視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=dongfangweishi_twn
